country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ghana,GHA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,60.9,,,,,,,41.8,,,,39.0,,,,,,,,
Gibraltar,GIB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,50.3,,,,,44.0,,,,,21.3,,,,,,11.7,,,,,,
"Gambia, The",GMB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,55.2,,,,,,,34.2,,,,,17.1,,,,,22.0,,,,
Guinea-Bissau,GNB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,68.2,,,,,,,,75.7,,,,,,,,37.1,,,39.9,,,
Equatorial Guinea,GNQ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,8.8,,
Greece,GRC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.2,,0.2,0.6,0.9,0.4,0.7,0.6,0.4,0.6,1.1,1.5,2.1,1.5,2.0,2.0,1.4,1.1,0.2,1.0,1.1,0.7,0.6,0.6,
Grenada,GRD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,0.8,,,,,,
Greenland,GRL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),8.8,,,,,,10.5,,,,,,,,8.0,,,,,,,,,9.7,
Guam,GUM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),1.5,1.3,1.1,1.0,0.9,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.3,0.6,0.6,0.5
"Hong Kong SAR, China",HKG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,26.5,29.0,34.0,33.3,31.3,27.3,22.0,20.9,18.1,19.6,20.1,24.0,20.8,20.6,19.9,19.8,19.3,19.8,18.8,,,,17.0,15.7
Heavily indebted poor countries (HIPC),HPC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.0,0.0,,,0.0,,,,0.0,1.0,1.4,1.0,1.1,1.2,1.2,0.7,0.9,0.6,0.5,0.4,0.4,0.3,0.4,0.3,
Haiti,HTI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,75.1,,,,,,,,,,,40.4,,,,,,,,,,,,
Hungary,HUN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.1,0.0,0.1,0.2,0.3,1.0,0.2,0.2,0.1,0.1,0.2,0.2,0.5,0.5,1.0,1.0,1.6,0.9,,,,,,,
IBRD only,IBD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),58.5,57.8,57.1,55.3,51.9,50.0,48.3,46.5,44.3,43.8,41.8,40.8,39.6,37.1,36.3,36.0,35.6,34.7,34.1,33.8,35.3,35.5,35.1,35.2,35.0
IDA blend,IDB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),65.7,62.3,46.8,45.5,45.4,41.1,46.8,41.1,38.0,37.9,34.1,31.2,26.6,27.2,25.7,21.6,18.0,14.8,12.5,10.8,9.8,8.6,7.9,6.7,5.4
IDA only,IDX,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,46.4,,,,,34.6,,27.1,,,,,,,,,,,5.3,,
Not classified,INX,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.2,,0.2,0.2,0.1,0.1,0.5,0.1,0.2,0.6,0.7,0.7,0.5,0.7,0.4,0.4,0.3,0.3,0.1,0.1,0.2,0.1,0.2,0.1,
"Iran, Islamic Rep.",IRN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,4.5,4.5,,,4.9,,2.3,1.8,1.9,3.3,3.0,3.0,2.7,3.2,4.3,4.6,3.7,2.8,2.5,
Iraq,IRQ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,0.6,,,,,,0.6,,,,,,,,,,,0.5,
Iceland,ISL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,0.0,0.2,0.0,0.2,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.1,,,,,
Israel,ISR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,0.2,0.7,0.9,1.0,1.0,0.5,0.5,0.7,0.7,0.5,0.3,0.7,0.5,0.7,0.5,0.5,0.7,0.7,1.0,0.7,0.7,,,
Italy,ITA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),1.2,,1.7,0.9,0.8,0.8,0.8,0.8,0.9,1.1,1.4,1.3,1.4,1.6,1.4,2.1,1.8,1.5,1.7,1.0,0.9,0.9,0.7,0.9,
Jamaica,JAM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,6.4,,4.5,,,,,,,,,,,,,,0.4,,,1.4,,,
Jordan,JOR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,1.0,,,,0.3,,0.1,,0.1,,,,,,,,,,,,,,
Japan,JPN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,1.0,0.9,0.7,0.5,1.5,1.0,0.7,0.4,0.7,0.6,1.0,1.2,1.2,,,,
Kazakhstan,KAZ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,20.7,16.2,12.3,7.6,14.6,2.4,1.1,0.8,0.8,0.5,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.0,,,
Kenya,KEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,44.6,,,,,,,,,,37.7,,,,,44.4,46.4,46.9,,
Kyrgyz Republic,KGZ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),66.2,61.5,58.1,56.6,32.5,36.6,26.0,23.3,13.8,9.8,12.6,9.3,10.5,13.5,8.1,11.0,8.0,8.2,5.9,4.9,9.4,5.6,4.5,2.7,
Cambodia,KHM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,21.3,,,,,,,,,,,,,6.1,,,,,
St. Kitts and Nevis,KNA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,0.5,,0.5,,0.5,,0.5,,0.2,,0.2,0.2,0.2,0.2,0.0,0.2,,,
Kuwait,KWT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,43.1,,,,,36.0,,,,,21.7,,,,,,15.7,,,,,,
Lebanon,LBN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,0.1,,,,,,,,,,,5.9,,
Liberia,LBR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,61.1,,,,,,,31.7,,33.6,,,,,,,,
Libya,LBY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,0.1,,,,,,,,,
Latin America & Caribbean,LCN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),18.1,17.9,17.1,16.6,15.3,14.2,12.0,10.8,9.9,9.5,8.5,7.7,7.4,6.7,6.3,5.9,6.1,6.0,5.9,6.0,5.6,6.3,5.0,4.6,4.5
Least developed countries: UN classification,LDC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,62.7,60.5,59.7,58.8,58.0,57.0,55.8,55.9,54.1,53.9,52.8,52.3,52.6,53.6,54.2,54.1,,,55.5,56.2,55.6,56.3,
Liechtenstein,LIE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,20.7,,,,12.2,,,7.8,,,6.4,,,,3.8,,,2.7,,,,,
Lower middle income,LMC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,45.9,44.8,43.2,41.6,39.4,36.9,35.2,33.5,30.1,28.2,26.4,23.7,21.7,,,,,,15.2,14.4,13.4,12.6,12.0
Low & middle income,LMY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),45.1,43.9,41.8,39.8,37.5,35.1,33.4,31.2,29.7,28.3,25.7,23.4,21.7,18.8,17.5,16.1,15.0,14.0,13.2,12.7,13.4,13.1,12.5,12.2,12.0
Lesotho,LSO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,74.9,,,,,,,,,,,,,,,41.9,,,,,,,
Late-demographic dividend,LTE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),1.2,1.6,1.4,0.4,4.0,2.7,1.8,1.6,1.8,2.7,2.0,0.9,1.1,1.2,1.7,1.0,1.5,1.2,1.0,0.6,0.5,0.3,0.8,1.1,
Luxembourg,LUX,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.3,0.1,0.3,0.3,0.1,0.0,0.1,0.1,0.1,
